Echantillon,'Type de roche',CaO+MgO,Al2O3,TiO2,Fe2O3*,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Zn,Pb,Cu,As,Cd,Cr,Ni,Sc,V,Ba,Sr,Li,' Rb ',Y,Zr,Nb,Cs,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U
59-02RM602.7.3A,'R.carbonatees & R.carbonatees impures',49.57,0.04,0.002,0.06,0.01,20.5,29.06,0.03,0.01,0.05,166,1,2930.5,2,32.111481,8.955172,5,2.1,2.046939,1.4,7.8,37.1,1,0.3,3,0.8,0.2,0,1.6,1.5,0.3,1.3,0.2,0.1,0.3,0,0.3,0.1,0.2,0,0.1,0,0,0,0,2.3
62-02RM605.2.5C,'R.carbonatees & R.carbonatees impures',49.55,0.02,0,0.41,0.03,20.67,28.88,0.02,0,0.02,1463,37,2930.5,3,3,8.955172,4.3,2.4,2.046939,3,3.6,46.9,6.108333,0.1,2.1,0.4,0.4,0,0.9,0.9,0.2,0.7,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,0.8
65-02RM605.5.3A,'R.carbonatees & R.carbonatees impures',49.18,0.03,0,0.07,0.01,20.74,28.44,0.02,0.01,0.03,38,3,2930.5,1,32.111481,8.955172,2.7,16.838983,2.046939,2.2,2.8,49.2,6.108333,0.1,1.3,0.5,0.9,0,0.7,0.6,0.2,0.5,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0,0.2,0,1
67-02RM605.7.3A,'R.carbonatees & R.carbonatees impures',49.13,0.07,0.004,0.27,0.04,20.69,28.45,0.02,0.01,0.07,300,3,7,2,32.111481,8.955172,6.5,2.1,2.046939,2.9,5,56,0.9,0.3,4,2.1,0.3,0,1.8,1.8,0.4,1.7,0.3,0.1,0.4,0.1,0.4,0.1,0.3,0,0.2,0,0,0,0.1,4
72-02RM612.1.3B,'R.carbonatees & R.carbonatees impures',48.65,0.39,0.015,0.13,0.01,20.15,28.5,0.04,0.21,0.94,737,7,5,7,7.8,8.955172,9.1,14.1,0.8,37.2,25.4,66.1,11.5,6.1,19.1,5.6,1.1,0.4,8.1,8.5,1.8,9.3,1.6,0.4,2.2,0.3,2.3,0.6,1.7,0.2,1,0.1,0.1,0.1,0.3,12.3
73-02RM613.1.3A,'R.carbonatees & R.carbonatees impures',48.65,0.15,0.002,0.43,0.07,20.4,28.24,0.02,0.01,0.58134,230,33,113,12,32.111481,8.955172,2.6,16.838983,2.046939,1.2,3.9,80,0.4,0.2,2.2,0.7,0.1,0,1.5,1,0.3,0.9,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0.1,1.5
74-02RM615.1.3A,'R.carbonatees & R.carbonatees impures',48.63,0.15,0.004,0.13,0.03,20.39,28.24,0.06,0.04,0.03,96,7,29,2,32.111481,8.955172,3.1,16.838983,0.4,4.9,9.8,99,1.5,0.5,5,1.9,0.3,0,2.8,2.8,0.6,2.7,0.5,0.1,0.6,0.1,0.6,0.1,0.4,0.1,0.3,0,0,0,0.2,1.6
127-02YH020,'R.carbonatees & R.carbonatees impures',48.55,0.35,0.021,0.3,0.41,19.77,28.78,0.05,0.19,0.05,224,16,13,1,32.111481,0.2,16.8,14.2,0.4,2.9,365.3,69.4,5.4,3.9,11.3,5.6,0.7,0.1,7.9,14,1.7,7.1,1.4,0.3,1.7,0.2,1.4,0.3,0.8,0.1,0.6,0.1,0.1,0,0.5,0.4
132-02YH025.1.3A,'R.carbonatees & R.carbonatees impures',48.4,0.03,0.001,0.14,0.02,20.2,28.21,0.02,0.01,0.05,287,9,10,2,32.111481,8.955172,1.8,16.838983,0.2,6.5,4.5,51.1,6.108333,0.2,2.4,0.9,0.1,0,1.1,0.8,0.2,0.8,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,2.1
16-02BD314.1.3A,'R.carbonatees & R.carbonatees impures',48.37,0.05,0.001,0.05,0.01,20.28,28.09,0.02,0.01,0.04,173,3,2930.5,170.125,32.111481,8.955172,1.6,16.838983,2.046939,3.5,3.1,50.8,6.108333,0.2,2.2,1,0.1,0,1.1,0.9,0.3,0.8,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.5
18-02BD317.1.3A,'R.carbonatees & R.carbonatees impures',48.36,0.17,0.006,0.35,0.08,20.31,28.04,0.03,0.08,0.01,580,5,3,3,6,8.955172,6.3,4.3,0.3,19.4,31.7,72.5,3.6,1.8,3.1,2.2,0.7,0.1,1.7,2,0.4,1.8,0.3,0.1,0.4,0.1,0.4,0.1,0.3,0,0.2,0,0.1,0.1,0.2,2.2
22-02BD328.1.3C,'R.carbonatees & R.carbonatees impures',48.17,0.04,0.001,0.1,0.02,20,28.17,0.02,0.01,0.01,79,3,2930.5,1,32.111481,8.955172,3.5,1.9,2.046939,1.8,3,51,6.108333,0.2,2.4,1,0.4,0,1,0.8,0.2,0.8,0.1,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.9
125-02YH018,'R.carbonatees & R.carbonatees impures',48.15,0.02,0.001,0.25,0.03,20.12,28.03,0.02,0.01,0.01,813,97,2930.5,1,32.111481,0.4,1.9,16.838983,2.046939,1.2,3.2,59.4,6.108333,0.1,2,0.5,0.1,0,0.9,1,0.2,0.8,0.2,0,0.2,0,0.2,0.1,0.2,0,0.1,0,0,0,0,1.1
26-02BD329.3.3A2,'R.carbonatees & R.carbonatees impures',48.15,0.03,0.001,0.09,0.01,20.13,28.02,0.02,0.01,0.05,167,6,2930.5,1,32.111481,0.4,3.5,16.838983,2.046939,1,2.7,54.9,6.108333,0.2,1.8,0.9,0.1,0,1,0.7,0.2,0.7,0.2,0,0.2,0,0.2,0,0.1,0,0.1,0,0,0,0,2
